free_text,label_id,clean_text
A làm e nộp đơn xin nghỉ việc cmnr và cái kết dkmn rồi sml ra “Cực kỳ thuyết phục”,1,a làm e nộp đơn xin nghỉ_việc con mẹ nó rồi đơn và cái kết_dkmn rồi sấp mặt lồn ra “ cực_kỳ thuyết_phục ”
Thằng chó Ngọc đang bưng nồi cơm đã vở và ngồi khóc trong bịnh viện ung bướu vì hít thở không khí ô nhiễm!,2,thằng chó ngọc đang bưng nồi cơm đã vở và ngồi khóc trong bịnh_viện ung_bướu vì hít thở không_khí ô_nhiễm !
Ám ảnh vl,1,ám_ảnh lồn vãi
Paula Lưu Cua đéo phải động vật à bạn ei 😀 ????,1,paula lưu_cua đéo phải động_vật à bạn ei ? ? ? ?
mình lỡ rồi giờ bỏ sao được 😞,0,mình lỡ rồi giờ bỏ sao được
Có hôn chị Cho em với,0,có hôn_chị cho em với
bệnh hoạn v lin,1,bệnh lin v hoạn
Từ Hân Ly lay má 🤣,2,từ từ hân_ly lay_má
Non quá thầy ơi,2,non quá thầy ơi
mọi con đường búa liềm đều dẫn tới tham nhũng,2,mọi con đường búa_liềm đều dẫn tới tham_nhũng
Ồ nắng qá tụi nó núp đó mà ....!!!!!,0,ồ nắng qá tụi nó núp đó mà .... ! ! ! ! !
Lon ma m nka,2,lon ma m nka
Dương Quốc,0,dương_quốc
Vy Le -_-,0,vy le
Du hk sinh úc đấy,0,du_hk sinh úc đấy
Thoi lm vé thăm âm phủ,0,thoi lm vé thăm âm_phủ
Bả này có dương vật đó,2,bả có này có dương_vật đó
Trần Sinh Đức suy nghĩ như đầu buồi,2,trần sinh_đức suy_nghĩ như đầu trần buồi
Gặp máy chị Ninja thì né luôn. trước mình đang đi lúc tắc đường có mụ đi giữa đường rẻ phải vào mua hoa quả luôn k cần xi nhê gì. :3 tức mà đéo làm gì đc bác ak.,2,gặp máy chị ninja thì né luôn . trước mình đang đi lúc tắc đường có mụ đi giữa đường rẻ phải vào mua hoa_quả luôn gì cần xi_nhê gì . tức mà đéo làm k đc bác ak .
Vl sam,1,vãi lồn sam
Quỳnhh Hoa nhà ko về tính về đâu?,0,quỳnhh hoa nhà_ko về tính về đâu ?
"Thảo Jamie a Độ vs chị Trang đó, ảnh thiệt!",0,"thảo jamie a_độ vs chị trang đó , ảnh thiệt !"
"Thiếu! Ý thức của người VN quá yếu và quá kém. Giờ giấc cao su, cha chung ko ai khóc, thiếu tinh thần hợp tác...",2,"thiếu ! ý_thức của người việt nam quá yếu và quá kém . giờ_giấc cao_su , cha chung ko ai khóc , thiếu tinh_thần hợp_tác ..."
Đám sạo lồn,2,đám sạo lồn
Họp thò thụt,1,thò thụt
Hồng Thái nhưng m thì có :)),0,hồng_thái nhưng m thì có
dơ vl,1,dơ lồn vãi
Phuc Nguyen. Hanh Nguyen nên xem cái này,0,phuc nguyen . hanh nguyen nên xem cái này
"Giết quách được phát ra từ miệng 1 người đại diện cho pháp luật VN,hỏi đạo đức,trách nhiệm của ông ở đâu?hay ông là loài đv máu lạnh?",2,"giết quách được phát ra từ miệng 1 người đại_diện cho pháp_luật việt nam , hỏi đạo_đức , trách_nhiệm của ông ở đâu ? hay ông là quách loài được máu lạnh ?"
Dạng háng chứ đâu,1,dạng háng chứ đâu
"May là đô khùng, ăn nói tục tiểu ko biết cái loại ca tụng máy là loại ko học thức",2,"học_thức may là đô_khùng , ăn nói_tục tiểu_ko biết cái loại ca_tụng máy là loại ko học_thức"
sale cc,1,sale con cặc
CÁI ĐÓ LÀ THIẾU NHA BẠN :) CÒN CÁI LOẠI ĐI BẮT BẺ NHƯ BẠN MÀ CŨNG BẮT BẺ NGU NHƯ BÒ ? CHÍNH TÃ LÀ CHÍNH GÌ ?,2,loại cái đó là thiếu nha bạn còn cái loại đi bắt_bẻ như bạn mà cũng bắt bẻ_ngu như bò ? chính_tã là chính gì ?
@Phi Quý bên minh hang f1 dưới 200k thui 😂,0,quý bên minh hang f1 dưới 200 k thui
:))))) nay thi doc quyen :V d' cho tu nhan tham gia om chet me chung m di :v de dan ganh d gi,1,nay thi doc quyen ' d tu_nhan tham_gia om chet me chung m di_e dan ganh cho gi
Lam cai cc j dc bo ha T.lu,1,lam cai_cc j dc bo ha t.lu
Cho mò cu là chu cà mo haha,0,cho mò cu là chu_cà_mo haha
Ngèo quá phải ăn bánh mì :<,0,ngèo quá phải ăn bánh_mì : <
"Anh Thái mua khẩu trang gấp thôi,tự bảo vệ mình nhó",0,"anh thái mua khẩu_trang gấp thôi , tự bảo_vệ mình nhó"
Tuân Nguyễn no lai cay vl ra,1,tuân nguyễn_no lai_cay vãi lồn ra
nó joke mà sao mấy ông nhạt vl vậy,0,nó joke mà sao mấy ông nhạt vãi lồn vậy
Trời ơi miệng dì mà như cá lóc chùi đít vậy oe,2,trời ơi miệng dì mà như cá_lóc chùi đít vậy oe
Để hình con chó con heo bình tùm bậy tùm bạ.:))) Chửi anti thốn vl,2,để hình con chó heo bình_tùm bậy tùm_bạ . chửi anti_thốn vãi lồn
Quá đáng lắm luôn 😂😂😂,0,quá đáng lắm luôn
Cho vào tù cách ly mẹ đi,1,cho vào tù cách_ly mẹ đi
Bui Hoang thầy lồn,2,lồn bui hoang_thầy lồn
Càng nói càng ngu.. học bk nhìu qa đâm ra bị lú... cũng tội mà thôi cũng kệ,1,càng nói càng ngu .. bách nhìu qa bị lú cũng tội mà thôi cũng kệ
Công an xã là nơi nhiều cái chết bí ẩn nhất,1,công_an xã nơi là nhiều cái chết bí_ẩn nhất
Ai thích bé này hơm :)))),0,ai thích bé này hơm
Nhìn nhà tiên tri vủ trụ trần dần giống con chó quá trời luôn ta ơi .,2,nhìn nhà tiên_tri vủ trụ trần dần giống con chó quá trời trời luôn ta ơi .
Phong Chau cười ỉa 😂,0,phong_chau cười ỉa
Viet Anh rửa xe e oi🥺🥺 a nghe nói e vì nước vì dân tự nguyện nhi? 😛,0,viet anh rửa xe e oi_a nghe nói e vì nước vì dân tự_nguyện nhi ?
Tao cháu ông tổng thống mỹ nè .đụ má xạo lồn.,1,tao cháu ông tổng_thống mỹ_nè . đụ má xạo lồn .
Quá ngu lồn đi =))),1,quá ngu lồn đi đi
Thấy tự hào vì bác,0,thấy tự_hào vì bác
"TD điên, VHL láu cá câu view. Dù vậy mùa dịch ở nhà coi cũng đỡ buồn. Hi hi",2,"dục điên , vhl láu câu view . dù vậy dịch ở nhà coi cũng đỡ buồn . hi_hi"
Đù mẹ.,1,đù mẹ .
cái máu lồn gì cũng kêu lỗ là thế lồn nào nhỉ .,1,cái máu_lồn gì cũng kêu lỗ là thế_lồn nào nhỉ .
"Lâm Quốc Huy đại học là oke ông , còn cấp 3 thì coi chừng thầy cô nứng :))",2,"là oke ông , còn cấp 3 thì coi_chừng thầy_cô nứng"
Thích nhất màu da lúc về 😋,0,thích nhất màu_da lúc về
Chó ko mọc nga voi...bê đê như thế nào  vẫn bóng gió  nghe,1,chó ko mọc nga_voi ... bê đê như_thế_nào vẫn bóng_gió nghe
Tinh trùng Khuyết tật,2,tinh_trùng khuyết_tật
Lỡ tay thầy ơi :)),0,lỡ tay thầy ơi
tuyet voi,0,tuyet voi
Dương Hiếu Dcm,1,dương hiếu_dcm hiếu_dcm
"Khổ vcl phải ăn mì ạ :""((",1,"khổ vãi cả lồn phải ăn mì ạ : "" ( ("
Cực kì thuyết phục 🤣🤣🤣,0,cực_kì thuyết_phục
ghét mấy thằng lìn quay dọc vl,2,ghét mấy lìn quay dọc vãi
M pk thầy ba giống con gà điểm nào k Thao Hoang,2,m ba kiến thầy phong giống con gà điểm nào k thao_hoang
Mấy thằg não cức,2,mấy thằg não cức
Thầy xạo lol hả thầy,2,thầy xạo lol lol hả thầy
"Ny em thức ngày thức đêm để xem stream của anh :) đêm nó xem hết ban ngày nó bật xem lại , trông hèn lắm anh ạ",0,"người yêu em thức ngày thức đêm để xem stream của anh đêm nó xem hết ban_ngày nó bật xem_lại , trông_hèn lắm anh ạ"
Bê đê chúa :)),1,bê đê_chúa
Pham My Linh hahahaha tết làm 1 phát,0,pham my linh_hahahaha tết làm 1 phát
Đùa nản vl thề,1,đùa nản vãi lồn thề
Tiếc ziêng Di trùng,0,tiếc ziêng di_trùng
đkm dơ vc,1,đkm dơ vãi cặc
"Nguyễn Việt Nam ,  Ủa cứt 🐕‍🦺 vàng 👈 mới biết đó nghen. 🖕",1,"nguyễn_việt_nam đó ủa cứt vàng mới biết , nghen ."
Huyền Khánh Phùng ơ chị mặt nhiều lớp thế 😂,2,chị phùng_ơ huyền_khánh mặt nhiều lớp thế
đa số thực phẩm mà bọn quan lại ăn là an toàn ...(chúng có ăn đồ chợ đéo đâu!),2,đa_số thực_phẩm mà bọn quan_lại ăn là an_toàn ... ( chúng có ăn_đồ chợ đéo đâu ! )
Võ Ngọc Mỹ Duyên ừa haha mấy anh mấy chị hỏng biết đó nà cái lồn đâu bé=)))))),1,võ ngọc mỹ_duyên ừa haha mấy lồn mấy chị hỏng biết đó nà cái anh đâu bé
Lương Kiều Trúc Uyên đồng quan điểm!,0,lương kiều_trúc uyên_đồng quan_điểm !
Jacob NguyenAn Nhây bà mẹ VN anh hùg :)))))))) hài ko chịu nỗi,2,jacob nguyenan nhây bà mẹ việt nam anh hùg hài_ko chịu nỗi
ôi anh Quang 😂 😂,0,ôi anh quang
Sống như lồn ok,1,sống như sống lồn ok
Ông Thầy này muốn ngủ gầm cầu lắm rồy nè !!!!!!,2,ông thầy này muốn ngủ gầm cầu lắm rồy nè ! ! ! ! ! !
"May thsng noi doc , cong san gioi lam ko can may thsng vo dung 3 que dau.",2,"may thsng noi doc , cong san_gioi lam_ko can_may thsng vo_dung 3 que dau ."
Hiếu Bùi sủa dơ,2,hiếu bùi_sủa dơ hiếu
Trần Vỹ mày có đi học phải biết phân biệt đâu là đạo nhái đáng khinh chứ,2,trần vỹ_mày có đi đáng học phải_biết phân_biệt đâu là đạo_nhái đáng khinh chứ
Vl a ưi,1,lồn vãi a ưi
quan trọng là dân đéo tin vào chúng mày nữa chứ ko phải là sợ chúng mày lạm quyền trưng dụng,2,quan_trọng là dân phải tin vào chúng_mày nữa chứ ko đéo là sợ chúng_mày lạm_quyền trưng_dụng
Minh Hieu nói chuyen vui quá!😂😂,0,minh hieu nói chuyen vui quá !
thế đấy dkm,1,thế đấy địt đấy con mẹ
Thời gian đầu đ ai chả thề non hẹn biển yêu lâu mới lộ ra ngay ý mà,1,thời_gian đ ai chả non hẹn biển yêu lâu mới lộ ngay_ý mà
Vâng abe luôn đẹp trai,0,vâng abe luôn đẹp_trai
"Cho ko mat duoc nga voi,nhung chi 3 an cuc duoc do nha chi 3",2,"cho ko mat duoc nga , nhung chi 3 an_cuc duoc do chi 3"
U chị ba có lol luôn . Vụ này ngộ à nghen,2,vụ chị ba có lol luôn . u này ngộ à nghen
Tại thằng dân... Cái j cũng tại dân đmcs chứ t đóng thuế nuôi chúng m bú C nhau à,2,tại thằng dân ... cái j cũng tại dân đmcs chứ t đóng thuế nuôi chúng mày bú c nhau à
Nguyễn Quốc An nhìn như con đười ươi,2,nguyễn_quốc_an nhìn như con đười ươi
Chết chắt 💀💀💀,1,chắt chết
Lợi cái đầu buồi j hả,1,lợi cái đầu buồi j hả
"mịa, bao nhiều đời đéo dẹp được, ông Thăng lên được mấy tháng thì dẹp thế đéo nào ngay được, nói ngu vl",1,"mịa , bao nhiều đời đéo dẹp được , ông thăng lên được mấy tháng thì dẹp thế đéo nào ngay được , nói ngu vãi lồn"
Khó vẽ nụ cười,1,khó vẽ nụ cười cười
Quyen Anh có có,0,quyen anh có có
Mặc kiểu này là tao cá ổng vừa ỉa xong . Đéo thể khác được,1,mặc kiểu này là tao cá ổng vừa ỉa xong . đéo_thể khác được
Để đây và ko nói gì,0,để đây và ko nói gì
Giờ là tới lúc bọn chúng trả thù người biểu tình,2,giờ là tới lúc bọn chúng trả_thù người biểu_tình
Chào cc :))),1,con chào con cặc
Tởm...........,1,tởm ...........
Biết vậy ở nhà đọc truyện sếch còn hơn thầy ạ,1,nhà biết vậy ở nhà đọc truyện_sếch còn hơn thầy ạ
Nam Bắc Giang cẩn thận nhé k virus chết mẹ,0,nam bắc_giang cẩn_thận nhé k virus chết mẹ
Tiền đâu mua thầy ơi áo đắt vãi đái,1,tiền đâu mua thầy ơi áo đái vãi đắt
Có khùng quá thì chết đi,1,quá khùng có thì chết đi
xin video di bro :v,0,xin video di_bro
"Ủa nghĩ z là hay lắm ó hỏ,ý thức như cái đách. Chán thiệt sự",1,"ủa nghĩ z là hay lắm ó_hỏ , ý_thức như cái đách . chán ý_thức thiệt_sự"
thề nhìn giống anh pew vl mà anh cứ bảo không phải,0,thề nhìn giống anh pew vãi lồn mà anh cứ bảo không phải
cởi mẹ đi mặc khó ưa vc,1,cởi mẹ đi khó ưa vãi cặc
Ở đó mà bán rẻ tâm hồn. Sủa cc,1,ở đó mà bán rẻ tâm_hồn . sủa ở con cặc
Chúc kênh Panda của thầy đạt được nhiều sub nha dấu bé ba,0,chúc kênh panda của thầy đạt được nhiều sub_nha dấu bé ba
mỗi lần xem lại k nhịn đc cười,0,mỗi lần xem_lại k_nhịn đc cười
Chua soi hay sao mà con chui túc  tiêu qua  tay chay luon di  moi xl do  vua xong  la chui nua  dung la ngua quen dương cu,1,chua_soi hay sao mà con chui_túc_tiêu qua chay luon di_moi xin lỗi do vua xong_la chui_nua dung_la ngua quen_dương cu
"Bây giờ tôi mới vay 250T, trước là đồng chí khác vay tôi ko biết :)",0,"bây_giờ tôi mới vay 250 t , trước là đồng_chí khác vay tôi ko biết"
Hay lắm anh Trung Quảng Cáo,0,hay lắm anh trung quảng_cáo
Già mà non,0,già mà non
Xem mấy thằng chym ngắn thượng đẳng cà khịa chúng ta mấy hôm nay thấy thế nào nhỉ,2,xem mấy thằng chym ngắn thượng_đẳng cà_khịa chúng_ta mấy hôm_nay mấy thấy thế_nào nhỉ
Thứ ngu như m nói chuyện mất tg...đi học lại lớp mẫu giáo đi,2,thứ ngu như m nói_chuyện mất_tg ... đi học_lại lớp mẫu_giáo đi
Dlv sủa hộ ?,2,dlv sủa hộ ?
Vl soái ca,1,vãi lồn soái công an
cc ne Chu Tich. Phạt tao đi.,2,con cặc ne chu_tich . phạt tao đi .
Có vận dụng được vào những chỗ có tóc khác khong a ?,0,có vận_dụng được vào những chỗ có tóc khác khong a ?
Út Tuyền sát ngày vé mới cao,0,út tuyền sát ngày vé mới cao
Đo cho tui bey lam gio ban xa hoi,2,xa_hoi đo cho tui bey_lam gio_ban xa_hoi
Y vậy :),0,y vậy
"Thương anh í quá, sao chính quyền không cho ông cách ly ở nhà tang lễ cho tiện nhang đèn, hòm gỗ kèm nến lung linh cho ấm áp!",2,"thương í quá , sao chính_quyền không cho ông cách_ly ở nhà tang_lễ cho tiện nhang đèn , hòm gỗ kèm nến lung_linh cho ấm_áp !"
"\"" Liên Quan\""...",0,"\ "" liên_quan \ "" ..."
Chut j ba Nhiu sức khoe nha,0,chut j ba nhiu_sức khoe nha
Corona trong phim :)),0,corona trong phim
Chắc Tiệp nghĩ Tiệp là hạng Thượng đẳng :)),2,chắc tiệp nghĩ hạng tiệp là hạng thượng_đẳng
Trốn thì im sửa cũng chả ai nghe,0,trốn thì im_sửa cũng chả ai nghe
kkkk,0,k
đón trung quốc sang chiếm nước :))),2,đón trung_quốc sang chiếm nước
Huyền Vũ tạm biệt=)),0,huyền_vũ tạm_biệt
R thế giáo án đá phò đâu thầy l,2,r thế giáo_án phò đâu l
"Tụi mày tuổi lồn, nói thế cho nó vuông",2,"tụi mày tuổi lồn , nói cho thế nó vuông"
"Cộng sản toàn lũ tư tưởng độc đảng, Qua bên mĩ còn tư tưởng độc đảng như CHINA",2,"cộng_sản toàn lũ tư_tưởng độc_đảng , qua bên mĩ còn tư_tưởng độc_đảng như china"
"mày ngu lắm , bình thường vận động chúng nó đi học chúng nó còn ko đi, giờ cắt tiền hỗ trợ đi thì nó đi cái đầu buồi à ?",2,"mày ngu lắm , bình_thường vận_động chúng_nó đi học chúng_nó còn ko đi , giờ cắt tiền hỗ_trợ đi thì nó đi cái đầu buồi à ?"
kiếm tiền xài tết hả thầy 😎😎,0,kiếm tiền xài tết hả thầy
các chú công an hình sự còn phải đi bắt lỗi giao thông lên gd thông cảm...cai j kiế,0,các chú công_an hình_sự còn phải đi bắt lỗi giao_thông lên giáo dục thông_cảm ... cai_j kiế
Phàm :)) vlon thanh niên,2,phàm lon thanh_niên
Nguyễn Đình Chung dô cái link thầy ghi trên stt đó,0,nguyễn_đình_chung dô cái link thầy ghi trên stt đó
"Nghe theo tuyên truyền còn đảng còn mình, bọn chúng nghĩ như vậy nên ra sức phấn đấu làm trâu chó ngựa cho người ta sai bảo.",2,"nghe theo còn đảng mình , bọn chúng nghĩ như_vậy nên ra_sức phấn_đấu trâu chó ngựa cho người ta sai ."
Mãi mãi liềm lone,1,mãi_mãi lone liềm lone
Có thêm vài người như nhung thì toang.,1,có thêm vài người như nhung thì toang .
Công nhận chưa thấy cái con đàn bà nào mà có cái miệng xấu như con Linh cá lóc,2,công_nhận chưa thấy cái con đàn_bà nào mà có cái miệng xấu như con linh cá_lóc
Dị ứng với thằng cha này quá,2,dị_ứng thằng_cha với này quá
